Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
David Gordon,DEM Auditor Newlin Township,1,6,1
Jeevitha Nuggihalli,DEM Auditor Upper Uwchlan Township,1,6,1
"John C. Cresson, Jr.",DEM Auditor Uwchlan Township,1,6,1
Catherine Beck,DEM Auditor W Bradford Township,1,6,1
Carter Membrino,DEM Auditor W Goshen Township,1,6,1
Maureen Kavanagh,DEM Auditor W Nottingham Township,1,6,1
Lauren Schwartz,DEM Auditor W Vincent Township,1,6,1
Deepak Gupta,DEM Auditor W Whiteland Township,1,6,1
William Brewer,REP Auditor E Bradford Township,1,6,1
Andrea Minahan,REP Auditor E Nantmeal Township,1,6,1
Tom Aichele,REP Auditor Easttown Township,1,6,1
Kaitlyn Corcoran,REP Auditor Elk Township,1,6,1
Lynn Weber,REP Auditor Franklin Township,1,6,1
John R. Burke,REP Auditor Highland Township,1,6,1
Lorraine Louie,REP Auditor Honey Brook Township,1,6,1
Barry Levine,REP Auditor W Bradford Township,1,6,1
Jeff Rice,REP Auditor W Goshen Township,1,6,1
Sarah Frame,REP Auditor W Nantmeal Township,1,6,1
Marie E. Miller,REP Auditor W Nottingham Township,1,6,1
Christian Callahan,REP Auditor W Whiteland Township,1,6,1
David Kurtz,REP Auditor Warwick Township,1,6,1
Jim Hanak,REP Auditor Westtown Township,1,6,1
Frank Martinsky,REP Auditor Willistown Township,1,6,1
Dennis Hatton,DEM Auditor Unexpired 4 Year Term E Brandywine Township,1,4,1
Patricia Roscioli,REP Auditor Unexpired 2 Year Term W Whiteland Township,1,2,1
Ethan Cramer,DEM Member of Council Kennett Square Borough,4,4,1
Bob Norris,DEM Member of Council Kennett Square Borough,4,4,2
Hilda Matos,DEM Member of Council Kennett Square Borough,4,4,3
Patrick Mitchell,DEM Member of Council Kennett Square Borough,4,4,4
Charla H. Watson,DEM Member of Council Kennett Square Borough,4,4,5
Amy Reigel,DEM Member of Council Kennett Square Borough,4,4,6
Juan L. Tafolla,DEM Member of Council Kennett Square Borough,4,4,7
"UNOFFICIAL LIST OF CANDIDATES
May 20, 2025 Municipal Primary
Chester County, Pennsylvania
Updated 3/19/2025",,,,
Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Robert Ketcham,DEM Member of Council Oxford Borough,4,4,1
Michael Brandt,DEM Member of Council Oxford Borough,4,4,2
Melody Boston-Griffin,DEM Member of Council Oxford Borough,4,4,3
Amanda Birdwell,DEM Member of Council Oxford Borough,4,4,4
Montez O. Jones,DEM Member of Council S Coatesville Borough,4,4,1
Gilbert C. Parker,DEM Member of Council S Coatesville Borough,4,4,2
Sylvia F. Washington,DEM Member of Council S Coatesville Borough,4,4,3
Robert L. Floyd,DEM Member of Council S Coatesville Borough,4,4,4
Kenneth H. Bond,DEM Member of Council S Coatesville Borough,4,4,5
Jonathan Mountz,REP Member of Council Elverson Borough,4,4,1
Dennis Kurtz,REP Member of Council Elverson Borough,4,4,2
Tom Feeley,REP Member of Council Elverson Borough,4,4,3
Jessica Florio,REP Member of Council Honey Brook Borough,4,4,1
Karen M. Kelly,REP Member of Council Honey Brook Borough,4,4,2
Natalie Dawn Hill,REP Member of Council Honey Brook Borough,4,4,3
James P. Miller,REP Member of Council Kennett Square Borough,4,4,1
Troy T. Thompson,REP Member of Council Kennett Square Borough,4,4,2
Matthew Harper,REP Member of Council Oxford Borough,4,4,1
Todd Brade,REP Member of Council Parkesburg Borough,4,4,1
Mark Agen,REP Member of Council Parkesburg Borough,4,4,2
"Thomas J. Roney, Sr.",REP Member of Council S Coatesville Borough,4,4,1
Stephanie Reichert,DEM Member of Council Avondale Borough,3,4,1
Michael W. Essmaker,DEM Member of Council Avondale Borough,3,4,2
Janet Watts,DEM Member of Council Avondale Borough,3,4,3
Angela Riccetti,DEM Member of Council Malvern Borough,3,4,1
Zoe Warner,DEM Member of Council Malvern Borough,3,4,2
Dan Kunze,DEM Member of Council Malvern Borough,3,4,3
Kimberly Sherman,DEM Member of Council Modena Borough,3,4,1
Leandria Hall,DEM Member of Council W Grove Borough,3,4,1
John Rossetti,REP Member of Council Malvern Borough,3,4,1
Catherine O. Raymond,REP Member of Council Malvern Borough,3,4,2
Edward Hines,REP Member of Council Modena Borough,3,4,1
Carmen Green,DEM Member of Council At Large City Of Coatesville,2,4,1
Michele S. Smith,DEM Member of Council Downingtown W Ward,2,4,1
Charrisse Allen,DEM Member of Council Coatesville 2nd Ward,1,4,1
"Brent Formica, Jr.",DEM Member of Council Downingtown E Ward,1,4,1
Tanya Vogel,DEM Member of Council Phoenixville E Ward,1,4,1
Beth Burckley,DEM Member of Council Phoenixville Md Ward,1,4,1
Richard Mark Kirkner,DEM Member of Council Phoenixville N Ward,1,4,1
Koretta K. McGhee,DEM Member of Council Phoenixville N Ward,1,4,2
