Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
Member of Council,REP Member of Council Coatesville 4th Ward,Republican,Ward,1,4,
Member of Council,DEM Member of Council Downingtown E Ward,Democratic,Ward,1,4,
Member of Council,REP Member of Council Downingtown E Ward,Republican,Ward,1,4,
Member of Council,DEM Member of Council Phoenixville N Ward,Democratic,Ward,1,4,
Member of Council,REP Member of Council Phoenixville N Ward,Republican,Ward,1,4,
Member of Council,DEM Member of Council Phoenixville Md Ward,Democratic,Ward,1,4,
Member of Council,REP Member of Council Phoenixville Md Ward,Republican,Ward,1,4,
Member of Council,DEM Member of Council Phoenixville E Ward,Democratic,Ward,1,4,
Member of Council,REP Member of Council Phoenixville E Ward,Republican,Ward,1,4,
Member of Council,DEM Member of Council Phoenixville W Ward,Democratic,Ward,1,4,
Member of Council,REP Member of Council Phoenixville W Ward,Republican,Ward,1,4,
Member of Council,DEM Member of Council West Chester 1st Ward,Democratic,Ward,1,4,
Member of Council,REP Member of Council West Chester 1st Ward,Republican,Ward,1,4,
Member of Council,DEM Member of Council West Chester 3rd Ward,Democratic,Ward,1,4,
Member of Council,REP Member of Council West Chester 3rd Ward,Republican,Ward,1,4,
Member of Council,DEM Member of Council West Chester 5th Ward,Democratic,Ward,1,4,
Member of Council,REP Member of Council West Chester 5th Ward,Republican,Ward,1,4,
Member of Council,DEM Member of Council West Chester 7th Ward,Democratic,Ward,1,4,
Member of Council,REP Member of Council West Chester 7th Ward,Republican,Ward,1,4,
Member of Council Unexpired 2 Year Term,DEM Member of Council Unexpired 2 Year Term Kennett Square Borough,Democratic,Municipal,1,2,
Member of Council Unexpired 2 Year Term,REP Member of Council Unexpired 2 Year Term Kennett Square Borough,Republican,Municipal,1,2,
Member of Council Unexpired 2 Year Term,DEM Member of Council Unexpired 2 Year Term W Grove Borough,Democratic,Municipal,1,2,
Member of Council Unexpired 2 Year Term,REP Member of Council Unexpired 2 Year Term W Grove Borough,Republican,Municipal,1,2,
Mayor,DEM Mayor Atglen Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Atglen Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor Avondale Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Avondale Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor S Coatesville Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor S Coatesville Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor Downingtown Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Downingtown Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor Elverson Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Elverson Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor Honey Brook Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Honey Brook Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor Kennett Square Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Kennett Square Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor Malvern Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Malvern Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor Modena Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Modena Borough,Republican,Municipal,1,4,
"CHESTER COUNTY, PENNSYLVANIA
UNOFFICIAL LIST OF OFFICES
MAY 20, 2025 Municipal Primary",,,,,,
Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
Mayor,DEM Mayor Oxford Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Oxford Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor Parkesburg Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Parkesburg Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor Phoenixville Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Phoenixville Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor Spring City Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor Spring City Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor W Grove Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor W Grove Borough,Republican,Municipal,1,4,
Mayor,DEM Mayor West Chester Borough,Democratic,Municipal,1,4,
Mayor,REP Mayor West Chester Borough,Republican,Municipal,1,4,
Township Supervisor,DEM Township Supervisor E Coventry Township,Democratic,Municipal,2,6,
Township Supervisor,REP Township Supervisor E Coventry Township,Republican,Municipal,2,6,
Township Supervisor,DEM Township Supervisor E Fallowfield Township,Democratic,Municipal,2,6,
Township Supervisor,REP Township Supervisor E Fallowfield Township,Republican,Municipal,2,6,
Township Supervisor,DEM Township Supervisor Franklin Township,Democratic,Municipal,2,6,
Township Supervisor,REP Township Supervisor Franklin Township,Republican,Municipal,2,6,
Township Supervisor,DEM Township Supervisor E Goshen Township,Democratic,Municipal,2,6,
Township Supervisor,REP Township Supervisor E Goshen Township,Republican,Municipal,2,6,
Township Supervisor,DEM Township Supervisor London Grove Township,Democratic,Municipal,2,6,
Township Supervisor,REP Township Supervisor London Grove Township,Republican,Municipal,2,6,
Township Supervisor,DEM Township Supervisor E Marlborough Township,Democratic,Municipal,2,6,
Township Supervisor,REP Township Supervisor E Marlborough Township,Republican,Municipal,2,6,
Township Supervisor,DEM Township Supervisor New Garden Township,Democratic,Municipal,2,6,
Township Supervisor,REP Township Supervisor New Garden Township,Republican,Municipal,2,6,
Township Supervisor,DEM Township Supervisor Penn Township,Democratic,Municipal,2,6,
Township Supervisor,REP Township Supervisor Penn Township,Republican,Municipal,2,6,
Township Supervisor,DEM Township Supervisor W Pikeland Township,Democratic,Municipal,2,6,
Township Supervisor,REP Township Supervisor W Pikeland Township,Republican,Municipal,2,6,
Township Supervisor,DEM Township Supervisor Schuylkill Township,Democratic,Municipal,2,6,
Township Supervisor,REP Township Supervisor Schuylkill Township,Republican,Municipal,2,6,
Township Supervisor,DEM Township Supervisor Thornbury Township,Democratic,Municipal,2,6,
Township Supervisor,REP Township Supervisor Thornbury Township,Republican,Municipal,2,6,
